$t$,w_0, (EKF), (VApre), (VAEM)
219,0.19499455,0.12371404,0.12566325,0.12560125
220,0.20661522,0.13056642,0.13253252,0.13246678
221,0.18422662,0.12138854,0.123229355,0.12318186
222,0.16963035,0.16579011,0.16781425,0.16776115
223,0.17794901,0.124215074,0.12616442,0.1261152
224,0.23693115,0.1485778,0.15051778,0.15047343
225,0.26124418,0.16097505,0.16298932,0.1629287
226,0.27546623,0.14482892,0.14681412,0.14675583
227,0.2768461,0.18680888,0.18887974,0.1888077
228,0.30230513,0.1976608,0.19969162,0.19963248
229,0.39654297,0.16823089,0.17016031,0.17011653
230,0.42048925,0.13350749,0.13535696,0.1353201
231,0.41569123,0.1264692,0.12837297,0.12832074
232,0.41167736,0.104952015,0.10683151,0.10677695
233,0.41722134,0.12221951,0.12411117,0.12405675
234,0.38933802,0.118115604,0.12002484,0.11996492
235,0.35100588,0.11325385,0.11509286,0.11504786
236,0.3531708,0.12972958,0.13160135,0.13155232
237,0.3024528,0.12080795,0.12265266,0.122607835
238,0.27658936,0.16783524,0.16972533,0.16968158
239,0.2840417,0.15705661,0.15894401,0.15889643
240,0.2720331,0.19254977,0.19450733,0.1944529
241,0.2804484,0.15221809,0.15409026,0.15404038
242,0.31286052,0.16689563,0.16875568,0.16871166
243,0.30332118,0.17066269,0.17252187,0.17247908
244,0.26543537,0.16735862,0.16924663,0.16919571
245,0.23753202,0.18623698,0.1881338,0.18808481
246,0.16077006,0.1954009,0.19732858,0.1972753
247,0.10134283,0.09186802,0.0940608,0.09401102
248,0.102966346,0.099598564,0.10174936,0.1016961
249,0.14105058,0.084348254,0.08646412,0.08642823
250,0.15063429,0.11999603,0.12217771,0.12210028
251,0.1378856,0.15163426,0.15386268,0.15375082
252,0.13858017,0.1762506,0.17845686,0.17832601
253,0.13432682,0.19941111,0.20159777,0.20144941
254,0.18874773,0.16043271,0.16266154,0.16254516
255,0.114518434,0.19223818,0.19448376,0.19433765
256,0.11378762,0.18847366,0.19070624,0.19056433
257,0.108547665,0.19221878,0.19447182,0.19432533
258,0.097122714,0.18122901,0.18340506,0.18327259
259,0.058123108,0.18278416,0.1850045,0.18486826
260,0.059112124,0.19330293,0.19552128,0.19537608
261,0.05901687,0.14983115,0.15216683,0.15205897
262,0.0983463,0.13759705,0.13989928,0.1398021
263,0.11576171,0.13592815,0.13822135,0.13812537
264,0.104485914,0.13579021,0.13812912,0.1380354
265,0.09038359,0.098081335,0.100354135,0.10029521
266,0.109017,0.15114875,0.1534579,0.15335363
267,0.09822559,0.10710742,0.10936174,0.10929781
268,0.05928825,0.1218927,0.124123946,0.12404638
269,0.08077602,0.12185972,0.12402697,0.1239463
270,0.07885151,0.10454089,0.106696166,0.106630966
271,0.09254328,0.0877082,0.08982569,0.08977349
272,0.06421718,0.068781935,0.07079674,0.07075606
273,0.03851082,0.06259709,0.064634986,0.064601414
274,-0.0091360845,0.06441411,0.06646272,0.06642829
275,-0.009788785,0.11699293,0.119089745,0.11901547
276,0.0067369863,0.13476633,0.13686602,0.1367816
277,0.001017624,0.09449876,0.09641786,0.09635735
278,-0.03121137,0.13120688,0.13314873,0.13307023
279,-0.09066904,0.18872906,0.19075342,0.19064982
280,-0.12781155,0.08138233,0.0836937,0.0836578
281,-0.15497352,0.09447234,0.09674301,0.096682325
282,-0.20581393,0.07993293,0.08218302,0.08214792
283,-0.17848715,0.101272546,0.103556,0.10348506
284,-0.2465877,0.07559439,0.07790481,0.07788106
285,-0.25904366,0.11126787,0.11366848,0.11358843
286,-0.25441626,0.13090582,0.13331355,0.1332014
287,-0.23686332,0.06693844,0.06922885,0.06922115
288,-0.23872684,0.027293032,0.0294489,0.029502371
289,-0.28452218,-0.021567918,-0.01954839,-0.019420566
290,-0.27123263,-0.05828638,-0.056313604,-0.056127965
291,-0.23182,-0.10152499,-0.099702515,-0.09945785
292,-0.24555033,-0.07086531,-0.0689325,-0.068729766
293,-0.22377057,-0.087694034,-0.085833736,-0.08560919
294,-0.23643073,-0.077726096,-0.075906664,-0.0756982
295,-0.22306073,-0.04005888,-0.03819493,-0.038041823
296,-0.2452841,-0.06287004,-0.061068658,-0.060885847
297,-0.2598061,-0.090410985,-0.088680476,-0.08846249
298,-0.2767738,-0.076467164,-0.07468598,-0.074486196
299,-0.19353008,-0.09970413,-0.097990565,-0.09776294
300,-0.20390402,-0.15699813,-0.15553428,-0.15524441
301,-0.24141267,-0.1708421,-0.16939808,-0.16909179
302,-0.21998751,-0.2262254,-0.22538255,-0.22503603
303,-0.23561677,-0.20213287,-0.20124693,-0.20091338
304,-0.2230788,-0.19473994,-0.19380689,-0.193463
305,-0.24885237,-0.2112351,-0.21033198,-0.20997861
306,-0.260718,-0.17241189,-0.17153756,-0.17122415
307,-0.27074912,-0.13145122,-0.13053593,-0.13023482
308,-0.28118944,-0.122088805,-0.12117699,-0.12089255
309,-0.26553252,-0.161243,-0.1604365,-0.16013536
310,-0.26748028,-0.16504368,-0.16424823,-0.16395225
311,-0.26092094,-0.20569488,-0.20502768,-0.20471068
312,-0.28426015,-0.21663569,-0.215992,-0.21566027
313,-0.27360046,-0.22001685,-0.21937943,-0.21904933
314,-0.24850653,-0.22451481,-0.2238853,-0.22355498
315,-0.25633734,-0.24174957,-0.24114878,-0.24081686
316,-0.24833979,-0.23984037,-0.23923534,-0.2389025
317,-0.23129785,-0.1982915,-0.19766507,-0.19736126
318,-0.26789996,-0.24587846,-0.2454371,-0.2451209
319,-0.24925673,-0.24207748,-0.24162954,-0.2413021
320,-0.24043609,-0.19611366,-0.19563717,-0.19533432
321,-0.2065993,-0.18509056,-0.1846029,-0.1843081
322,-0.22631742,-0.18761103,-0.18712781,-0.18683055
323,-0.20591539,-0.13761579,-0.13718595,-0.13690372
324,-0.22182931,-0.09805856,-0.09758972,-0.09733388
325,-0.16184895,-0.10324747,-0.102784075,-0.10252497
326,-0.12893637,-0.1057306,-0.105269186,-0.10500828
327,-0.16545099,-0.14066581,-0.1402645,-0.1399887
328,-0.13257435,-0.12158869,-0.121158905,-0.120894946
329,-0.13356195,-0.1599974,-0.15965565,-0.15937747
330,-0.104322605,-0.13234955,-0.13198636,-0.13172176
331,-0.049995877,-0.13921277,-0.1388647,-0.13859767
